Date,Description,Amount,Balance
01/03/2026,STRIPE PAYOUT INVOICE 1042,4200.00,16200.00
01/05/2026,RENT LANDLORD PROPERTIES,-1850.00,14350.00
01/08/2026,AWS CLOUD SERVICES,-312.44,14037.56
01/12/2026,GITHUB SUBSCRIPTION,-21.00,14016.56
01/15/2026,PAYROLL GUSTO,-3600.00,10416.56
01/18/2026,UBER EATS,-43.10,10373.46
01/22/2026,CLIENT DEPOSIT REMITTANCE,2800.00,13173.46
01/28/2026,HYDRO ELECTRIC UTILITY,-186.22,12987.24
02/03/2026,STRIPE PAYOUT INVOICE 1051,3900.00,16887.24
02/05/2026,RENT LANDLORD PROPERTIES,-1850.00,15037.24
02/09/2026,OPENAI API,-128.00,14909.24
02/12/2026,GITHUB SUBSCRIPTION,-21.00,14888.24
02/15/2026,PAYROLL GUSTO,-3600.00,11288.24
02/16/2026,GOOGLE ADS CAMPAIGN,-540.00,10748.24
02/21/2026,CLIENT DEPOSIT REMITTANCE,1500.00,12248.24
02/24/2026,STARBUCKS COFFEE,-12.85,12235.39
02/27/2026,INTERNET COMCAST,-94.99,12140.40
03/02/2026,STRIPE PAYOUT INVOICE 1063,5100.00,17240.40
03/05/2026,RENT LANDLORD PROPERTIES,-1850.00,15390.40
03/08/2026,AWS CLOUD SERVICES,-356.71,15033.69
03/12/2026,GITHUB SUBSCRIPTION,-21.00,15012.69
03/15/2026,PAYROLL GUSTO,-3600.00,11412.69
03/18/2026,LEGAL LAWYER RETAINER,-1200.00,10212.69
03/22/2026,CLIENT DEPOSIT REMITTANCE,3300.00,13512.69
03/26/2026,INTEREST EARNED,18.44,13531.13
03/29/2026,HYDRO ELECTRIC UTILITY,-201.10,13330.03
04/02/2026,STRIPE PAYOUT INVOICE 1075,4600.00,17930.03
04/05/2026,RENT LANDLORD PROPERTIES,-1850.00,16080.03
04/09/2026,ADOBE CREATIVE CLOUD,-59.99,16020.04
04/12/2026,GITHUB SUBSCRIPTION,-21.00,15999.04
04/15/2026,PAYROLL GUSTO,-3600.00,12399.04
04/19/2026,AIR CANADA FLIGHT,-612.40,11786.64
04/23/2026,CLIENT DEPOSIT REMITTANCE,2100.00,13886.64
04/28/2026,INTERNET COMCAST,-94.99,13791.65
