Posting Date,Details,Debit,Credit
2026-01-07,STAPLES OFFICE SUPPLY,142.30,
2026-01-14,DOORDASH DELIVERY,38.75,
2026-01-20,NAMECHEAP DOMAIN,42.16,
2026-01-26,MARRIOTT HOTEL,289.00,
2026-01-31,CREDIT CARD PAYMENT THANK YOU,,512.21
2026-02-06,AMAZON OFFICE,87.44,
2026-02-13,UBER RIDE,24.60,
2026-02-19,FIGMA SUBSCRIPTION,15.00,
2026-02-25,RESTAURANT BISTRO,96.20,
2026-02-28,CREDIT CARD PAYMENT THANK YOU,,223.24
2026-03-04,BEST BUY ELECTRONICS,415.99,
2026-03-11,LINKEDIN ADS,180.00,
2026-03-17,TIM HORTONS,9.45,
2026-03-23,NOTION SUBSCRIPTION,16.00,
2026-03-30,CREDIT CARD PAYMENT THANK YOU,,621.44
2026-04-05,EXPEDIA HOTEL,210.50,
2026-04-12,SLACK SUBSCRIPTION,87.50,
2026-04-18,AMAZON OFFICE,53.21,
2026-04-24,GROCERY MARKET,118.90,
2026-04-30,REFUND ADOBE,,59.99
